# The stages of the integration, in order, one row per stage — which is one row
# per commit. Tab-separated: slug <TAB> name <TAB> what it gives you.
#
# The slug names the stage's frozen figures (measurements/<slug>.csv) and is what
# scripts/run.sh builds; the last row is the stage under construction. A stage's
# row is added when its work starts and its CSV frozen when the figures settle,
# so the two are briefly out of step — the cost table leaves an unfrozen stage
# out and says so rather than publishing a blank row.
#
# Slugs, not numbers: a stage inserted mid-history would renumber every file
# after it.
Baseline	Baseline	a device that already networks, stores, and holds an mTLS session — before any syslog
linked	Linked	the core library and lwIP raw-mode networking, linked but not yet called
error-handler	Error handler	a fault inside the logger reaches the console instead of being silent
logger	Logger created	the logger object, reporting exactly what is still missing from it
udp	First record	a valid RFC 5424 record on the wire, over UDP
header-fields	Header fields	a timestamped record naming the device, instead of nil values
sequence-id	Sequence numbers	every record numbered, so a gap in the sequence is visible
buffered	Buffered	logging that returns immediately, with the send moved off the logging task
tcp	TCP	records the network retransmits instead of dropping, and a send that fails when the collector is gone
time-quality	Time quality	a timestamp the collector knows how far to trust, and an uptime that tells a reboot from a counter wrap
file-store	File store	records that survive a failed send, spooled to disk with a checksum at rest
origin	Origin	the device named in the record itself, not inferred from the source address
origin-ip	Origin address	the device's own address in the record, which a relay or NAT between it and the collector cannot rewrite
tls	TLS	a collector the device authenticates, and records no longer readable on the wire
hmac	HMAC at rest	stored records that cannot be edited undetected, not merely checked for corruption
pipeline-sd	Private SD-ELEMENT	a record that states the protection its own log pipeline was under
